Train data type,Eval set,Cased,Base model,Num epochs,Max seq length,ACCURACY,F1,,,,,,,,,,,,,,,,,,,,,
backtrans_fr_downsampled,dev,uncased,SNLI-finetuned,3,500,,,,,,,,,,,,,,,,,,,,,,,
backtrans_fr_downsampled,test,uncased,^,na,500,,,,,,,,,,,,,,,,,,,,,,,
backtrans_fr_downsampled,dev,cased,bert-base-uncased,3,500,,,,,,,,,,,,,,,,,,,,,,,
backtrans_fr_downsampled,test,cased,^,-,500,,,,,,,,,,,,,,,,,,,,,,,
flat,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.77,0.74,,,,,,,,,,,,,,,,,,,,,
flat,test,uncased,^,-,500,0.69,0.69,,,,,,,,,,,,,,,,,,,,,
windowed_1,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.67,0.66,,,,,,,,,,,,,,,,,,,,,
windowed_1,test,uncased,^,-,500,0.29,0.24,,,,,,,,,,,,,,,,,,,,,
windowed_1,dev,uncased,bert-base-uncased,3,500,0.66,0.65,,,,,,,,,,,,,,,,,,,,,
windowed_1,test,uncased,^,-,500,0.29,0.24,,,,,,,,,,,,,,,,,,,,,
windowed_2,dev,uncased,LM-finetuned-all-cc-uncased,3,500,,,,,,,,,,,,,,,,,,,,,,,
windowed_2,test,uncased,^,-,500,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b0,r5_b0,uncased,bert-base-uncased,3,128,0.7,0.7,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b1,r5_b1,uncased,bert-base-uncased,3,128,0.66,0.6,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b2,r5_b2,uncased,bert-base-uncased,3,128,0.7,0.66,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b3,r5_b3,uncased,bert-base-uncased,3,128,0.74,0.72,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b4,r5_b4,uncased,bert-base-uncased,3,128,,,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b5,r5_b5,uncased,bert-base-uncased,3,128,0.76,0.76,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b6,r5_b6,uncased,bert-base-uncased,3,128,0.56,0.5,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b7,r5_b7,uncased,bert-base-uncased,3,128,0.72,0.73,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b8,r5_b8,uncased,bert-base-uncased,3,128,0.64,0.62,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b8,r5_b9,uncased,bert-base-uncased,3,128,0.7,0.67,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b0,r5_b0,uncased,LM-finetuned-all-cc-uncased,3,128,0.74,0.74,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b1,r5_b1,uncased,LM-finetuned-all-cc-uncased,3,128,0.72,0.69,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b2,r5_b2,uncased,LM-finetuned-all-cc-uncased,3,128,0.72,0.68,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b3,r5_b3,uncased,LM-finetuned-all-cc-uncased,3,128,0.72,0.7,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b4,r5_b4,uncased,LM-finetuned-all-cc-uncased,3,128,0.76,0.74,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b5,r5_b5,uncased,LM-finetuned-all-cc-uncased,3,128,0.76,0.74,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b6,r5_b6,uncased,LM-finetuned-all-cc-uncased,3,128,0.58,0.51,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b7,r5_b7,uncased,LM-finetuned-all-cc-uncased,3,128,0.74,0.743,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b8,r5_b8,uncased,LM-finetuned-all-cc-uncased,3,128,0.64,0.62,,,,,,,,,,,,,,,,,,,,,
vanilla ~r5_b8,r5_b9,uncased,LM-finetuned-all-cc-uncased,3,128,0.76,0.76,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanilla_fold0,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.74,0.7,,,,,,,,,,,,,,,,,,,,,
vanilla_fold0,test,uncased,^,3,500,0.72,0.7,,,,,,,,,,,,,,,,,,,,,
vanilla_fold1,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.72,0.7,,,,,,,,,,,,,,,,,,,,,
